id,title,tags
493922,Hereditary,horror mystery thriller toni collette alex wolff milly shapiro ann dowd gabriel byrne ari aster loss of loved one funeral ritual daughter supernatural cult possession murder dysfunctional family family drama fear demon attic evil ritual murder satanic ritual dollhouse satanic cult séance matriarch miniatures  en
480157,House of the Witch,horror tv movie emily bader michelle randolph jules hartley arden belle grace balbo alex merkin witch halloween haunted house prank  en
333339,Ready Player One,sci-fi adventure action tye sheridan olivia cooke ben mendelsohn lena waithe t.j. miller steven spielberg video game based on novel or book future virtual reality dystopia nostalgia love film in film evil corporation quest 1980s 2040s based on young adult novel columbus ohio  en
506680,Unbroken: Path to Redemption,drama samuel hunt merritt patterson bob gunton will graham david sakurai harold cronk post traumatic stress disorder based on novel or book biography faith sequel  en
381289,A Dog's Purpose,adventure comedy fantasy family drama josh gad k.j. apa britt robertson dennis quaid peggy lipton lasse hallström based on novel or book human animal relationship reincarnation dog pets  en
462883,Woody Woodpecker,comedy family animation timothy omundson thaila ayala eric bauza graham verchere jordana largy alex zamm woodpecker  en
399579,Alita: Battle Angel,action sci-fi adventure rosa salazar christoph waltz jennifer connelly mahershala ali ed skrein robert rodriguez martial arts bounty hunter extreme sports dystopia superhero cyberpunk based on manga female cyborg live action remake floating city live action anime gunnm  en
181812,Star Wars: The Rise of Skywalker,adventure action sci-fi carrie fisher mark hamill daisy ridley adam driver john boyega j.j. abrams space opera  en
339403,Baby Driver,action crime ansel elgort kevin spacey lily james jon hamm jamie foxx edgar wright robbery waitress atlanta getaway car crime boss romance heist on the run shootout long take bank robbery getaway driver sign languages armed robbery hearing impaired  en
527776,Overcomer,drama alex kendrick priscilla c. shirer cameron arnett shari rigby aryn wright alex kendrick christianity sports cross country  en
480414,The Curse of La Llorona,horror thriller linda cardellini raymond cruz patricia velásquez roman christou jaynee michael chaves lanetli gözyasları la llorona  en
400155,Hotel Transylvania 3: Summer Vacation,animation comedy family fantasy adam sandler andy samberg selena gomez kevin james david spade genndy tartakovsky monster vampire vacation cruise ship summer vacation dracula  en
290859,Terminator: Dark Fate,sci-fi action linda hamilton arnold schwarzenegger mackenzie davis natalia reyes gabriel luna tim miller artificial intelligence cyborg helicopter mexico city mexico time travel dystopia sequel plane crash terminator  en
338952,Fantastic Beasts: The Crimes of Grindelwald,fantasy adventure action eddie redmayne katherine waterston dan fogler alison sudol johnny depp david yates paris france new york city witch magic school of witchcraft sequel prison escape old flame wizard magical creature 1920s good versus evil dark magic follower  en
305470,Power Rangers,action adventure sci-fi dacre montgomery rj cyler ludi lin naomi scott becky g dean israelite spacecraft super power superhero team lgbt reboot ethnic diversity based on tv series based on japanese tv series  en
320288,Dark Phoenix,sci-fi action adventure sophie turner james mcavoy nicholas hoult tye sheridan michael fassbender simon kinberg mutant telekinesis superhero based on comic superhero team 1990s cosmic  en
363088,Ant-Man and the Wasp,action adventure sci-fi paul rudd evangeline lilly michael peña walton goggins bobby cannavale peyton reed insect flying dream fight ant nuclear missile chase van shrinking giant insect sequel superhero based on comic house arrest alternate dimension flashback tragic villain laboratory fugitive school miniaturization montage toy car giant man female villain aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) giant action hero father daughter relationship mother daughter relationship  en
400535,Sicario: Day of the Soldado,action crime drama thriller benicio del toro josh brolin isabela merced jeffrey donovan manuel garcia stefano sollima corruption cia sequel rescue shootout explosion brutality drugs sign languages cartel neo noir mexican cartel  en
486589,Red Shoes and the Seven Dwarfs,animation romance family chloë grace moretz sam claflin gina gershon patrick warburton jim rash hong sung-ho shoe  en
346910,The Predator,sci-fi action adventure boyd holbrook trevante rhodes sterling k. brown jacob tremblay keegan shane black predator sequel alien creature alien invasion military  en
399360,Alpha,adventure drama kodi smit mcphee jóhannes haukur jóhannesson marcin kowalczyk jens hultén albert hughes wolf ice age human animal relationship wilderness survival snow saber toothed tiger boy and dog injury prehistoric adventure prehistory pets bison upper palaeolithic boar  en
420817,Aladdin,adventure fantasy romance family will smith mena massoud naomi scott marwan kenzari navid negahban guy ritchie hero hustler palace musical sultan flying carpet rags to riches romance monkey family first love based on myths legends or folklore genie arabian nights aladdin live action and animation live action remake  en
424694,Bohemian Rhapsody,music drama history rami malek gwilym lee ben hardy joseph mazzello lucy boynton bryan singer london england aids 1970s queen musician biography based on true story hiv male homosexuality singer fame rock band lgbt 1980s gay theme gay  en
346648,Paddington 2,adventure comedy family ben whishaw hugh bonneville sally hawkins samuel joslin madeleine harris paul king london england based on novel or book sequel bear train based on children's book animal aging actor live action and animation  en
509967,6 Underground,action thriller comedy ryan reynolds mélanie laurent manuel garcia rulfo ben hardy michael bay dictator florence italy shootout fictitious country evil dictator action packed street shootout  en
370663,Below Her Mouth,drama romance erika linder natalie krill sebastian pigott mayko nguyen tommie april mullen sexual identity infidelity female friendship love lesbian relationship female protagonist love affair lust lesbian sex sexual desire lgbt woman director erotic movie gay culture gender identity lesbian  en
339846,Baywatch,comedy action crime dwayne johnson zac efron priyanka chopra jonas alexandra daddario jon bass seth gordon sea beach drug dealer yacht life saver lifeguard rookie vigilantism  en
